iter	Logloss
0	0.689267483
1	0.6857055757
2	0.6821992201
3	0.6794921092
4	0.6765632457
5	0.6732622302
6	0.6700559352
7	0.6671041208
8	0.6637075883
9	0.6602692911
10	0.6588397911
11	0.6555617245
12	0.6523221643
13	0.6499181658
14	0.6473597514
15	0.6442495475
16	0.6414295299
17	0.6383934768
18	0.6361524818
19	0.6341143223
20	0.6326703777
21	0.6312467745
22	0.6283634601
23	0.626734367
24	0.625378241
25	0.6225917767
26	0.6200935785
27	0.6172322011
28	0.6158996118
29	0.6140608736
30	0.6123520757
31	0.6096827147
32	0.6084418354
33	0.6058659478
34	0.603398651
35	0.6016967511
36	0.5991992033
37	0.5973489203
38	0.5950685128
39	0.5938588127
40	0.5927677798
41	0.5916918525
42	0.5906119923
43	0.5883590363
44	0.5860070246
45	0.583375333
46	0.5817267116
47	0.5804845045
48	0.5783081934
49	0.5761442267
50	0.574383744
51	0.572474813
52	0.5710742793
53	0.5695761315
54	0.5686769797
55	0.567176973
56	0.5651803005
57	0.5637160584
58	0.5617247451
59	0.5597645363
60	0.5584083324
61	0.5565869488
62	0.5554511825
63	0.5534860313
64	0.5516958627
65	0.5499429681
66	0.5482153281
67	0.5465021067
68	0.544995623
69	0.5433472957
70	0.5423641765
71	0.5406180996
72	0.5388085353
73	0.5375905937
74	0.5355362771
75	0.5339535864
76	0.532605198
77	0.5312430386
78	0.529804321
79	0.5288071447
80	0.5276063052
81	0.5265421933
82	0.5251188235
83	0.5236247586
84	0.5226531231
85	0.5220381806
86	0.5205667968
87	0.5193795145
88	0.5179857222
89	0.5175276155
90	0.5169512246
91	0.5156022322
92	0.5150617785
93	0.5145277027
94	0.5140979374
95	0.5134074893
96	0.5126664455
97	0.5119012803
98	0.5110638061
99	0.5096222808
100	0.5082693199
101	0.5077750669
102	0.5065110755
103	0.5051704762
104	0.5043519728
105	0.5031587817
106	0.5022265731
107	0.5013559515
108	0.5005688859
109	0.5001334732
110	0.4990356556
111	0.4982716842
112	0.4972688677
113	0.4956751074
114	0.4949192532
115	0.4935360163
116	0.4921046652
117	0.4911018245
118	0.4900691742
119	0.489672715
120	0.4887963588
121	0.4877924223
122	0.4868303826
123	0.4858811137
124	0.485525347
125	0.484520579
126	0.4839151702
127	0.483270415
128	0.4821774977
129	0.4811362306
130	0.4801744436
131	0.4794406011
132	0.4789106439
133	0.4785693098
134	0.4780607421
135	0.4772791053
136	0.4768792842
137	0.4759671667
138	0.4753401306
139	0.4745741062
140	0.4736275495
141	0.472797759
142	0.4719785876
143	0.4713641396
144	0.470776981
145	0.4694869705
146	0.4692213961
147	0.4689585948
148	0.4677113718
149	0.4669823961
150	0.4657347023
151	0.4655449712
152	0.4651207721
153	0.4643083426
154	0.4640698344
155	0.4633373555
156	0.4625138061
157	0.4617500171
158	0.460955009
159	0.460448978
160	0.4600544113
161	0.4593768067
162	0.4586354314
163	0.4579701963
164	0.4572022437
165	0.4560549184
166	0.4557070085
167	0.4551060234
168	0.454235825
169	0.4538046587
170	0.453309155
171	0.4529180747
172	0.4520122028
173	0.4513963736
174	0.4508723893
175	0.4507360723
176	0.4505557255
177	0.4500749738
178	0.4498738294
179	0.4493016573
180	0.4486650188
181	0.4480414554
182	0.4470661
183	0.4465762064
184	0.4456721331
185	0.4450820519
186	0.4443303133
187	0.4434280107
188	0.4429460233
189	0.4427098129
190	0.4423183278
191	0.4417197992
192	0.440811482
193	0.4405236153
194	0.4397708756
195	0.4394564474
196	0.439088927
197	0.4385881992
198	0.4381950884
199	0.4378629831
200	0.4374191661
201	0.4367631713
202	0.4361733713
203	0.4356023389
204	0.4350969504
205	0.434653539
206	0.4341899074
207	0.4334170719
208	0.4331460999
209	0.4325848611
210	0.4322954253
211	0.4313852877
212	0.4312741652
213	0.4305252286
214	0.4304165159
215	0.4301055682
216	0.4294023306
217	0.4292267999
218	0.4290019091
219	0.4285416151
220	0.4284037745
221	0.4280034021
222	0.4272868512
223	0.4270246937
224	0.426516236
225	0.4257777727
226	0.4250878964
227	0.4243602862
228	0.4240358814
229	0.4234773489
230	0.4232270024
231	0.4229788719
232	0.4226910209
233	0.4224186864
234	0.421921878
