iter	Passed	Remaining
0	58	58587
1	58	29407
2	59	19650
3	59	14890
4	60	12034
5	61	10132
6	61	8771
7	62	7750
8	62	6899
9	63	6269
10	64	5755
11	64	5291
12	64	4929
13	65	4591
14	65	4324
15	66	4093
16	66	3860
17	66	3652
18	67	3477
19	68	3333
20	68	3202
21	69	3071
22	69	2946
23	69	2831
24	70	2742
25	70	2659
26	71	2582
27	72	2511
28	72	2442
29	73	2381
30	74	2314
31	74	2248
32	74	2197
33	75	2149
34	75	2090
35	76	2041
36	76	1989
37	77	1951
38	77	1904
39	77	1871
40	78	1839
41	78	1798
42	79	1773
43	80	1746
44	80	1711
45	81	1686
46	81	1652
47	81	1621
48	82	1592
49	82	1571
50	83	1551
51	84	1532
52	84	1513
53	85	1495
54	86	1478
55	86	1462
56	87	1446
57	88	1430
58	88	1411
59	88	1390
60	89	1379
61	90	1363
62	90	1343
63	90	1325
64	91	1314
65	92	1306
66	92	1294
67	93	1277
68	93	1265
69	94	1259
70	95	1247
71	96	1238
72	96	1229
73	97	1216
74	97	1207
75	98	1198
76	98	1184
77	99	1173
78	99	1165
79	100	1153
80	101	1146
81	101	1138
82	102	1130
83	103	1123
84	103	1116
85	103	1104
86	104	1098
87	105	1091
88	105	1079
89	106	1073
90	106	1064
91	106	1055
92	107	1049
93	108	1043
94	108	1032
95	108	1023
96	108	1014
97	109	1005
98	109	996
99	109	988
100	110	980
101	110	973
102	110	966
103	111	959
104	112	954
105	112	946
106	112	942
107	113	934
108	113	925
109	113	917
110	114	913
111	114	910
112	115	906
113	115	898
114	116	895
115	116	887
116	117	884
117	117	877
118	118	874
119	118	867
120	118	864
121	119	861
122	119	854
123	120	848
124	120	842
125	121	839
126	121	833
127	121	830
128	122	825
129	122	818
130	123	816
131	123	813
132	124	810
133	125	808
134	125	802
135	125	800
136	126	797
137	127	795
138	128	793
139	128	787
140	128	785
141	129	782
142	129	778
143	130	772
144	130	770
145	131	768
146	132	766
147	132	764
148	133	762
149	134	759
150	134	758
151	135	754
152	135	751
153	136	749
154	136	745
155	137	743
156	138	741
157	138	738
158	139	736
159	139	734
160	140	730
161	140	726
162	140	722
163	141	721
164	141	716
165	142	715
166	142	713
167	143	709
168	143	707
169	144	705
170	144	701
171	145	700
172	146	698
173	146	695
174	147	693
175	147	690
176	148	688
177	148	686
178	149	684
179	149	682
180	150	680
181	150	677
182	151	676
183	151	673
184	152	670
185	152	668
186	153	665
187	153	661
188	153	660
189	154	659
190	155	657
191	155	656
192	156	652
193	156	651
194	157	650
195	158	648
196	158	645
197	159	644
198	159	643
199	160	641
200	161	640
201	161	637
202	162	636
203	162	633
204	162	630
205	163	629
206	163	626
207	164	624
208	164	623
209	164	620
210	165	617
211	165	614
212	166	613
213	166	611
214	166	608
215	167	607
216	168	606
217	168	603
218	168	600
219	168	597
220	169	596
221	169	594
222	170	593
223	171	592
224	171	590
225	172	589
226	172	588
227	173	586
228	173	585
229	174	584
230	174	581
231	175	579
232	175	577
233	175	575
234	176	574
235	177	573
236	177	572
237	178	570
238	178	568
239	179	567
240	179	565
241	180	564
242	181	563
243	181	561
244	181	560
245	182	558
246	182	557
247	183	555
248	183	554
249	184	553
250	184	551
251	185	550
252	186	549
253	186	547
254	187	546
255	187	545
256	188	543
257	188	542
258	189	542
259	189	539
260	190	538
261	190	536
262	191	535
263	191	534
264	192	533
265	193	532
266	193	532
267	194	531
268	195	530
269	195	528
