iter	Logloss
0	0.6895256337
1	0.686365907
2	0.6834618396
3	0.6807977379
4	0.6781819824
5	0.6753980698
6	0.6740492924
7	0.6713461196
8	0.6682293747
9	0.6666767114
10	0.6640388921
11	0.660930966
12	0.658697808
13	0.6558059844
14	0.6527587014
15	0.6498345929
16	0.6469534869
17	0.644708962
18	0.6433732557
19	0.6406858822
20	0.6379896643
21	0.6356226
22	0.6333932289
23	0.6317470403
24	0.6292103414
25	0.6279972645
26	0.6258359212
27	0.6243595501
28	0.6222463592
29	0.620106516
30	0.6180762121
31	0.6158860503
32	0.6142811993
33	0.6116086612
34	0.6089734682
35	0.6071898892
36	0.6048840614
37	0.6030072551
38	0.6007220126
39	0.598750163
40	0.5965808742
41	0.5942783791
42	0.5933225339
43	0.5913479602
44	0.5889184665
45	0.5864912278
46	0.5851155999
47	0.5835170892
48	0.581364842
49	0.5799113228
50	0.5783341077
51	0.5759550608
52	0.5734682936
53	0.5713208935
54	0.5699593572
55	0.5681059825
56	0.5666368628
57	0.5649746237
58	0.5632291869
59	0.5612258593
60	0.5593559877
61	0.5574868297
62	0.5558435459
63	0.5545040146
64	0.5530194474
65	0.551354669
66	0.5507668947
67	0.5495228244
68	0.5484865038
69	0.5469587289
70	0.5456034653
71	0.5438997687
72	0.5425288851
73	0.5419017385
74	0.5406674447
75	0.5390984544
76	0.5374295326
77	0.5368591096
78	0.5351690686
79	0.5336152407
80	0.5331463226
81	0.5326038798
82	0.5318703251
83	0.5308243459
84	0.5294784193
85	0.5285211798
86	0.5277769548
87	0.5265810901
88	0.5258571855
89	0.5240865826
90	0.5230229067
91	0.5215636208
92	0.5208241579
93	0.5201433136
94	0.5191158199
95	0.517905245
96	0.5175184991
97	0.5170531327
98	0.5161366255
99	0.5148353848
100	0.5138710047
101	0.5131976014
102	0.5119549888
103	0.5108770225
104	0.5096435016
105	0.5088101984
106	0.5084203929
107	0.5073754974
108	0.5058130777
109	0.5050521948
110	0.504480979
111	0.5029570572
112	0.501706024
113	0.5006337692
114	0.5002805923
115	0.499355487
116	0.4983785807
117	0.4974149645
118	0.496950274
119	0.4966204423
120	0.4962714467
121	0.4956299715
122	0.495242313
123	0.4944126801
